事发街道,事发区县,月份,立案量,年份,均值,方差,数据量,出线,年月,日期,
朝阳门,东城区,8,93,2018,80.22916667,51.53566812,48,0,24224,18/8,
朝阳门,东城区,9,77,2018,80.22916667,51.53566812,48,0,24225,18/9,
朝阳门,东城区,10,90,2018,80.22916667,51.53566812,48,0,24226,18/10,
朝阳门,东城区,11,87,2018,80.22916667,51.53566812,48,0,24227,18/11,
朝阳门,东城区,12,61,2018,80.22916667,51.53566812,48,0,24228,18/12,
大红门,丰台区,1,19,2015,2105.208333,1843.179514,48,0,24181,15/1,
大红门,丰台区,2,2856,2015,2105.208333,1843.179514,48,0,24182,15/2,
大红门,丰台区,3,6438,2015,2105.208333,1843.179514,48,2,24183,15/3,
大红门,丰台区,4,6166,2015,2105.208333,1843.179514,48,2,24184,15/4,
大红门,丰台区,5,7295,2015,2105.208333,1843.179514,48,2,24185,15/5,
大红门,丰台区,6,6202,2015,2105.208333,1843.179514,48,2,24186,15/6,
大红门,丰台区,7,5306,2015,2105.208333,1843.179514,48,0,24187,15/7,
大红门,丰台区,8,4373,2015,2105.208333,1843.179514,48,0,24188,15/8,
大红门,丰台区,9,3595,2015,2105.208333,1843.179514,48,0,24189,15/9,
大红门,丰台区,10,2482,2015,2105.208333,1843.179514,48,0,24190,15/10,
大红门,丰台区,11,2432,2015,2105.208333,1843.179514,48,0,24191,15/11,
大红门,丰台区,12,2110,2015,2105.208333,1843.179514,48,0,24192,15/12,
大红门,丰台区,1,2769,2016,2105.208333,1843.179514,48,0,24193,16/1,
大红门,丰台区,2,2328,2016,2105.208333,1843.179514,48,0,24194,16/2,
大红门,丰台区,3,1490,2016,2105.208333,1843.179514,48,0,24195,16/3,
大红门,丰台区,4,1947,2016,2105.208333,1843.179514,48,0,24196,16/4,
大红门,丰台区,5,2549,2016,2105.208333,1843.179514,48,0,24197,16/5,
大红门,丰台区,6,2518,2016,2105.208333,1843.179514,48,0,24198,16/6,
大红门,丰台区,7,3167,2016,2105.208333,1843.179514,48,0,24199,16/7,
大红门,丰台区,8,2130,2016,2105.208333,1843.179514,48,0,24200,16/8,
大红门,丰台区,9,1509,2016,2105.208333,1843.179514,48,0,24201,16/9,
大红门,丰台区,10,1267,2016,2105.208333,1843.179514,48,0,24202,16/10,
大红门,丰台区,11,1161,2016,2105.208333,1843.179514,48,0,24203,16/11,
大红门,丰台区,12,517,2016,2105.208333,1843.179514,48,0,24204,16/12,
大红门,丰台区,1,390,2017,2105.208333,1843.179514,48,0,24205,17/1,
大红门,丰台区,2,497,2017,2105.208333,1843.179514,48,0,24206,17/2,
大红门,丰台区,3,589,2017,2105.208333,1843.179514,48,0,24207,17/3,
大红门,丰台区,4,120,2017,2105.208333,1843.179514,48,0,24208,17/4,
大红门,丰台区,5,77,2017,2105.208333,1843.179514,48,0,24209,17/5,
大红门,丰台区,6,180,2017,2105.208333,1843.179514,48,0,24210,17/6,
大红门,丰台区,7,168,2017,2105.208333,1843.179514,48,0,24211,17/7,
大红门,丰台区,8,119,2017,2105.208333,1843.179514,48,0,24212,17/8,
大红门,丰台区,9,239,2017,2105.208333,1843.179514,48,0,24213,17/9,
大红门,丰台区,10,583,2017,2105.208333,1843.179514,48,0,24214,17/10,
大红门,丰台区,11,1153,2017,2105.208333,1843.179514,48,0,24215,17/11,
大红门,丰台区,12,498,2017,2105.208333,1843.179514,48,0,24216,17/12,
大红门,丰台区,1,361,2018,2105.208333,1843.179514,48,0,24217,18/1,
