月份/地点,白纸坊预测,白纸坊实际,朝外预测,朝外实际,朝阳门预测,朝阳门实际,大红门预测,大红门实际,德胜预测,德胜实际,东华门预测,东华门实际,东铁营预测,东铁营实际,广安门外预测,广安门外实际,建外预测,建外实际,劲松预测,劲松实际,酒仙桥预测,酒仙桥实际,六里屯预测,六里屯实际,卢沟桥乡预测,卢沟桥乡实际,马家堡预测,马家堡实际,南磨房预测,南磨房实际,前门预测,前门实际,曙光预测,曙光实际,王佐镇预测,王佐镇实际,西罗园预测,西罗园实际,西长安街预测,西长安街实际,香河园预测,香河园实际,亚运村预测,亚运村实际,右安门预测,右安门实际,月坛预测,月坛实际
21.0,48.04226,47.0,18.944944,94.0,8.796797,41.0,1703.5398,1509.0,975.29596,1057.0,299.37863,491.0,7.3793797,11.0,585.3251,677.0,165.51099,208.0,727.0342,879.0,787.363,1008.0,170.30112,397.0,1016.4495,987.00006,164.72496,106.0,325.31833,605.0,40.202103,67.0,42.507,41.0,1230.6791,1279.0,223.8113,198.0,765.8939,965.0,198.13525,164.0,6.3993993,80.0,262.16684,255.0,1544.6079,1657.0
33.0,35.12837,75.0,129.86525,143.0,49.187122,42.0,243.33383,239.00002,57.705463,60.0,751.7246,1010.0,89.54439,73.0,33.905907,55.0,125.491776,121.0,911.2061,1139.0,396.42792,401.0,204.5113,209.0,239.05582,219.0,167.4625,164.0,297.4298,317.0,72.350555,79.0,72.89098,101.0,245.2876,329.0,54.501835,51.0,7.6876874,9.0,313.48062,314.0,164.2156,258.0,124.790276,169.0,253.52205,220.0
37.0,77.88131,251.0,422.83026,445.0,96.39781,162.0,467.94684,361.0,49.637638,89.0,1025.266,1175.0,43.817425,184.0,33.905907,66.0,285.2098,405.0,950.784,1189.0,457.83853,740.0,279.06992,256.0,508.61548,872.0,163.05783,145.0,405.95554,598.0,160.4844,215.0,230.09639,314.0,412.73074,550.0,113.79392,141.0,7.6876874,24.0,421.72272,496.99997,223.6521,193.0,139.53337,230.0,73.77278,126.99999
45.0,220.75948,253.0,607.0516,767.00006,69.92756,77.0,2742.5605,3347.0,260.72763,244.0,502.54984,619.0,275.13782,478.0,134.38124,72.0,441.7598,549.0,799.3988,783.0,710.1559,629.00006,340.78537,318.0,2146.3606,3829.0,518.0929,680.0,307.90985,348.0,129.23242,230.0,776.6998,931.99994,1721.3752,2789.0,41.745457,355.0,143.1086,114.00001,320.1023,181.0,437.80026,332.99997,841.1607,1219.0,759.8068,720.99994
31.0,18.459082,11.0,124.55796,119.00001,39.173153,39.0,114.530266,168.0,188.81006,187.0,589.3999,933.0,100.7749,146.0,99.30745,85.0,175.23544,219.0,876.0756,989.0,350.14038,378.99997,180.17932,140.0,132.56085,313.0,77.40077,153.0,244.73344,336.0,31.723803,92.0,43.452255,45.0,104.19733,108.0,14.892726,41.0,27.83284,52.0,274.7759,258.0,151.1721,263.0,74.342674,179.0,606.0818,666.99994
25.0,26.656448,33.0,166.27434,525.0,8.796797,46.0,551.0659,390.0,1201.2043,1412.0001,107.92314,935.0,7.3793797,83.0,935.8179,1128.0,192.3624,298.0,951.25903,1546.0,817.1513,1568.0001,128.32716,479.99997,803.79346,845.0,167.29141,116.0,208.48427,318.0,10.712713,56.0,53.84116,46.0,623.9813,589.0,186.60733,303.0,364.44986,383.0,275.3135,538.0,143.40186,405.0,222.88188,226.0,2114.2378,2288.0
19.0,16.293386,25.0,166.78033,93.0,17.567886,23.0,2613.6826,3167.0,1073.8894,1104.0,557.123,610.0,216.63039,259.0,549.9207,608.0,590.17725,382.0,737.7867,852.0,936.0456,852.0,508.282,859.0,1644.6907,1360.0,395.77844,543.0,443.8171,521.0,58.675907,71.0,2.92993,44.0,1236.2803,1308.0,322.66196,366.0,1063.2703,1007.0,370.85968,498.99997,6.3993993,149.0,349.69135,273.0,1741.2484,1584.0
15.0,1.3593594,2.0,317.48102,403.0,44.831375,66.0,2224.7002,1490.0,1073.973,1066.0,558.7422,738.0,215.87965,160.0,520.80756,627.0,793.5872,995.0,453.90793,863.0,732.30133,826.0,503.1341,590.0,2195.5159,2059.0,356.9572,218.0,361.31772,517.0,31.241098,87.0,2.92993,12.0,303.52728,344.0,370.6498,224.00002,920.137,1115.0,304.30966,446.0,39.04145,24.0,133.83214,59.0,1626.0209,1937.0
36.0,79.44046,156.0,360.36942,350.0,90.599106,79.0,503.8462,497.99997,49.637638,107.0,1050.0862,897.0,68.021164,321.0,33.905907,87.0,249.71855,280.0,1025.9154,863.0,462.20914,525.0,292.3973,349.0,464.1007,863.0,196.8224,185.0,395.38776,558.0,150.52187,118.0,186.72105,152.0,418.2891,614.0,118.73059,153.00002,7.6876874,33.0,430.1116,469.0,225.002,170.0,141.05348,172.0,77.78843,135.0
44.0,191.72873,164.0,630.1776,827.0,68.0991,93.0,2809.405,3411.0,297.43927,252.0,541.0106,703.0,383.697,724.0,141.2541,91.0,488.96136,517.0,798.6001,844.0,701.84985,562.0,354.2354,276.0,2422.512,4311.0,590.70667,866.0,318.43646,288.0,134.6215,213.0,782.6822,930.0,1818.168,3304.0,45.813705,61.0,170.5947,146.0,332.18597,287.0,405.38727,335.0,893.5683,1424.0,837.0731,763.99994
