月份/地点,白纸坊预测,白纸坊实际,朝外预测,朝外实际,朝阳门预测,朝阳门实际,大红门预测,大红门实际,大栅栏预测,大栅栏实际,德胜预测,德胜实际,东华门预测,东华门实际,广安门外预测,广安门外实际,建外预测,建外实际,劲松预测,劲松实际,酒仙桥预测,酒仙桥实际,六里屯预测,六里屯实际,卢沟桥乡预测,卢沟桥乡实际,南磨房预测,南磨房实际,曙光预测,曙光实际,西长安街预测,西长安街实际,香河园预测,香河园实际,亚运村预测,亚运村实际,月坛预测,月坛实际
31.0,-1.2092093,101.0,211.78978,191.99998,48.16807,49.0,66.292755,57.0,802.6984,1103.0,1373.4363,1423.0,76.44505,90.0,1069.492,1248.0,146.90291,131.0,104.134125,63.0,123.52586,105.99999,184.11809,156.0,163.16733,294.0,39.373722,36.0,62.345863,62.0,837.4945,882.0,113.454796,101.0,347.46307,341.0,800.53235,977.0
22.0,-1.2092093,16.0,21.64064,22.0,6.692703,11.0,28.091028,31.0,101.815254,98.0,207.46342,211.0,9.407859,9.0,116.1261,123.0,13.704704,13.999999,45.981487,47.0,44.274036,113.0,71.98719,44.0,39.4536,40.0,3.7037036,14.0,26.276306,25.0,507.56848,543.0,59.043015,53.0,26.225609,25.0,204.30894,221.99998
42.0,4283.827,3986.0,188.10023,199.0,8.339967,9.0,45.871048,49.0,1545.679,1502.0,3031.7678,3190.0,7.233894,14.0,2455.278,2403.0,164.9606,162.0,108.46804,171.0,218.72908,266.0,105.821205,121.0,97.77515,87.0,48.547047,119.0,263.17798,259.0,2163.764,2211.0,386.66623,399.0,361.9405,358.0,2409.7844,2687.0
18.0,-1.2092093,15.0,93.28611,141.0,14.396128,14.000001,12.90733,12.000001,82.717804,77.0,194.00821,194.0,8.304474,8.0,4.8828826,29.0,65.37578,139.0,65.44691,64.0,30.764765,63.0,119.860634,209.0,20.659798,18.000002,41.450523,41.0,7.227582,6.0,250.4617,317.0,62.334423,104.99999,8.156156,9.0,136.9766,159.0
23.0,-1.2092093,22.0,37.38282,156.0,2.865866,9.999999,25.041113,22.0,99.97944,105.0,189.14645,201.0,9.292787,35.0,144.70757,142.0,24.249548,35.000004,59.932682,72.0,67.66928,177.0,77.73056,235.0,40.30177,49.0,3.7037036,4.0,24.788227,24.0,616.3014,699.0,62.524014,87.99999,80.36661,170.0,201.48175,205.0
43.0,4517.025,4904.0,173.72397,210.0,4.9766245,9.999999,47.891174,37.000004,1569.713,1761.0,3061.6924,3310.0,5.908909,7.0,2592.3284,2837.0,167.22148,145.0,132.8382,127.0,231.92184,242.0,94.816315,89.0,94.7839,93.0,38.908268,75.0,275.11026,309.0,2247.9646,2381.0,434.21637,400.00003,356.98016,358.0,2475.4958,2887.0
29.0,-1.2092093,58.999996,227.76784,381.0,33.147064,28.000002,55.082603,77.0,568.8205,563.0,717.29034,966.0,63.363735,74.0,712.5473,742.0,142.9078,309.0,98.55233,118.0,141.1902,141.0,181.52396,213.0,93.035805,89.0,29.001507,66.0,40.708,39.0,842.3929,906.0,81.14314,81.0,345.8283,377.0,560.51984,621.0
14.0,-1.2092093,10.000001,137.05692,126.0,11.065288,12.0,11.88581,12.000001,31.707,34.000004,153.35143,150.0,15.645818,18.0,4.8828826,11.0,73.29964,74.0,95.23666,91.00001,30.764765,61.0,90.813034,95.0,7.6886888,8.0,48.751698,35.0,1.0548115,2.0,2.9299302,10.999999,71.06993,113.0,79.25667,227.0,74.75951,75.0
45.0,5245.4023,6208.0,141.66539,127.0,2.865866,11.0,73.46804,70.0,1642.142,1693.0,3170.1892,3165.0,5.908909,22.0,2914.197,2930.0,167.04869,191.0,130.20961,150.0,226.97421,235.0,115.141106,113.0,111.823296,120.0,29.174585,28.0,275.48203,355.0,2707.294,2833.0,561.2455,566.00006,447.55905,407.0,2576.944,2896.0
27.0,-1.2092093,33.0,215.4276,285.0,20.156677,23.0,42.68077,38.0,403.62314,516.0,173.95395,173.0,47.251328,53.0,601.52936,684.0,112.650085,109.0,71.41046,64.0,157.13527,176.0,175.49144,170.0,47.26386,58.0,21.192102,19.0,48.096916,54.0,993.48944,1129.0,50.318542,53.0,325.21402,380.0,378.02045,433.0
35.0,1287.8195,1768.0,204.19331,241.0,42.021584,137.0,63.417217,73.0,1133.2433,957.99994,2112.9536,2198.0,65.69659,74.0,1633.5529,1702.0,110.46195,111.0,65.73207,74.0,119.286835,207.0,188.3844,215.0,200.43916,197.0,56.843826,55.0,113.93618,122.0,1175.8486,1147.0,133.31384,132.0,345.01535,331.0,1228.438,1197.0
25.0,-1.2092093,16.0,142.64725,219.99998,5.5902047,26.0,32.16957,34.0,234.38008,217.0,111.93896,159.0,25.66162,43.0,395.75882,386.0,69.03942,55.999996,71.971214,95.0,131.61107,146.0,137.41531,223.0,42.457687,67.0,9.8933115,11.000001,45.873936,55.0,983.9078,1002.0,45.46482,43.999996,242.97624,242.0,261.92032,290.0
24.0,-1.2092093,15.0,69.05768,257.0,2.865866,3.0,26.319832,114.0,136.47847,143.0,149.3894,140.0,11.764681,11.0,213.81105,246.99998,39.39183,65.0,65.76806,62.0,90.84257,115.0,97.1988,259.0,42.18631,319.0,3.7037036,4.0,31.774912,34.0,766.51324,767.0,59.434532,78.0,142.27554,167.0,212.55203,216.0
33.0,334.6757,393.0,232.48357,230.0,53.13757,52.0,73.60431,74.00001,1070.5469,1219.0,1910.0465,1782.0,83.95288,97.0,1549.3597,1931.0001,146.20367,166.0,99.69285,171.0,130.30739,144.0,200.74863,169.0,210.50655,205.0,57.164078,68.0,98.713974,113.0,1066.3549,1077.0,135.20651,152.0,390.17224,439.99997,1085.6685,1146.0
38.0,2769.9006,2702.0,136.80515,128.0,6.812483,7.0000005,33.69391,35.0,1161.712,1272.0,2300.0686,2349.0,21.968819,19.0,1498.3729,1280.0,69.71415,70.0,15.682683,16.0,90.41903,77.0,140.30244,130.0,129.42484,121.0,44.72763,41.0,135.55998,138.0,1478.5784,1706.0,91.38612,87.0,274.01505,268.0,1529.7906,1775.9999
16.0,-1.2092093,5.0,119.69092,174.0,13.769744,34.0,12.638364,13.0,72.01868,75.0,192.42459,215.0,11.443984,24.0,4.8828826,20.0,77.65357,143.0,88.61904,95.0,31.966963,65.0,116.83172,151.0,11.575838,26.0,46.07111,53.0,3.0728178,4.0,110.2962,90.0,72.54349,75.0,16.207119,18.0,108.31952,108.0
26.0,-1.2092093,43.0,185.6435,156.0,12.863127,13.0,36.68612,39.0,321.28726,355.0,101.10213,129.0,37.367718,37.0,513.74744,576.0,90.95678,104.0,64.249756,65.0,148.89056,136.0,161.20503,157.0,38.51289,32.0,17.22075,18.0,48.79507,48.0,1002.2497,1001.0,40.307007,41.0,292.25256,250.0,304.44672,286.0
20.0,-1.2092093,30.0,48.44967,119.0,12.938623,13.0,28.993196,35.0,141.67764,132.0,206.80363,206.0,11.731783,11.0,72.95144,69.0,34.390697,70.0,38.300343,33.0,32.30167,33.0,107.57692,148.0,39.815643,70.0,27.404297,21.0,33.297077,41.0,496.61728,437.0,56.93806,61.000004,8.156156,111.0,209.77942,198.99998
17.0,-1.2092093,10.000001,109.2535,142.0,14.810388,28.000002,12.204639,10.0,81.39114,95.0,198.81374,212.0,9.403081,17.0,4.8828826,21.0,74.703384,120.0,78.82695,65.0,31.439728,50.0,122.3827,186.0,16.12858,33.0,45.27058,46.0,4.7041016,12.0,180.71312,137.0,68.298996,73.0,8.156156,9.0,123.752815,100.00001
48.0,5725.0737,4759.0,132.804,99.0,2.865866,14.000001,114.00289,95.0,1714.7451,1601.0,3241.1123,3445.0,5.908909,34.0,3073.7117,3122.0002,171.69809,176.0,107.95176,40.000004,191.60197,141.0,189.13412,210.0,144.74034,55.0,46.74819,41.0,257.8275,285.0,3430.279,2900.0,641.4467,531.0,586.1201,852.0,2625.4907,2098.0
41.0,3993.2212,3652.0,197.36725,291.0,12.31285,13.0,45.098022,58.999996,1516.8662,1592.0,3006.74,3612.0,14.909782,26.0,2305.956,2296.0,155.68529,185.0,70.90354,333.0,196.66743,246.0,121.40527,205.0,110.004776,171.0,56.344624,300.0,244.76143,268.0,2064.475,2459.0,316.5418,363.00003,366.88156,352.0,2295.7686,2610.0
34.0,840.4596,1142.0,227.50072,338.0,50.126957,52.0,70.92255,85.00001,1139.6235,1231.0,2087.8164,1860.0001,78.45821,52.0,1654.2667,1959.0001,134.41998,219.0,88.19435,130.0,126.2771,248.0,201.15875,176.0,215.50279,190.0,61.420284,51.000004,111.19762,97.0,1149.8567,1205.0,138.34196,186.00002,377.4015,427.0,1192.817,1285.0
32.0,-1.2092093,220.0,223.08688,166.0,51.930508,39.0,70.34586,66.0,932.72375,1374.0,1633.1031,1818.0001,81.742516,68.0,1308.2363,1883.0,148.31903,127.0,103.16013,137.0,126.149,82.0,192.80592,137.0,188.51865,209.0,48.64325,34.0,79.54374,72.0,939.2372,906.0,123.73746,95.0,368.79068,493.0,932.1084,1068.0
15.0,-1.2092093,16.0,130.87247,145.0,12.069984,28.000002,12.491037,14.0,50.417175,26.0,172.73058,218.0,14.07399,25.0,4.8828826,10.0,76.49462,151.0,94.004616,84.0,31.330233,81.0,103.559074,152.0,7.6886888,30.0,47.20071,54.0,1.7855368,1.0,30.413744,56.0,73.28956,122.00001,50.663742,53.0,87.71342,94.0
47.0,5628.5483,4437.0,133.93425,129.0,2.865866,9.0,105.80855,142.0,1689.146,1556.0,3197.4492,3290.0,5.908909,13.0,3037.0623,2891.0,169.32233,201.0,111.73923,68.0,198.01588,180.0,173.58551,106.0,136.40663,97.0,41.95273,27.0,258.15405,383.00003,3270.644,2776.0,629.69635,563.0,563.24164,747.0,2589.4888,2414.0
28.0,-1.2092093,35.0,232.55322,334.0,26.536394,34.0,49.32654,24.000002,487.5513,435.0,391.717,383.0,56.480957,73.0,672.27014,552.0,131.78725,268.0,83.86506,92.0,156.46086,143.0,182.75201,154.0,66.66487,62.0,25.514286,49.0,45.46328,46.0,949.346,921.0,63.359318,67.0,349.793,409.0,465.31982,524.0
